title,duration,price,students,has_discount,is_free,price_log,students_log
Learn to Trade for Profit: Find and Trade Winning Stocks,3.0,95.0,10605,False,False,4.564348191467836,9.269175157697076
Trading Inside Bars - Master 1 Easy Pattern To Be Successful,2.0,125.0,2996,False,False,4.836281906951478,8.005367067316664
Four Fundamentals of Financial Planning,1.0,30.0,6219,False,False,3.4339872044851463,8.735525185733225
Options Trading - Calendar Spread Course for Every Trader,1.5,200.0,1113,False,False,5.303304908059076,7.01571242048723
Dividend Investing: Build Your Portfolio for a Better Future,4.0,60.0,8314,False,False,4.110873864173311,9.025816391627028
Learn Accounting. Understand Business.,5.5,200.0,5572,False,False,5.303304908059076,8.625688787569537
How to Consistently Win Trading Stocks in 30 Days or Less,1.0,145.0,1433,False,False,4.983606621708336,7.2682230211595655
A Beginner's Guide to Quantopian Futures API,1.5,20.0,936,False,False,3.044522437723423,6.842683282238422
How to Buy Cheap Options - Options Trading Pricing Model,1.0,200.0,658,False,False,5.303304908059076,6.490723534502507
Excel Crash Course: Master Excel for Financial Analysis,3.5,105.0,8121,False,False,4.663439094112067,9.002331708246244
"Comprehensive Guide to Financial Markets, Investing &Trading",9.0,60.0,4187,False,False,4.110873864173311,8.339978571990427
Stock Trading Ninja: Complete System For Trading Success,4.5,155.0,9445,False,False,5.049856007249537,9.153346650456063
Hedge and Mutual Fund Careers: The Complete Guide,8.5,200.0,3255,False,False,5.303304908059076,8.08825472712243
Algorithmic Trading In Forex: Create Your First Forex Robot!,6.5,185.0,7941,False,False,5.225746673713202,8.979920411691197
The Power Modeling Bootcamp: Advanced Excel in 10 Days,5.5,150.0,1680,False,False,5.017279836814924,7.427144133408616
Options Trading Basics (3-Course Bundle),11.0,180.0,10100,False,False,5.198497031265826,9.220389707829185
How to Win 97% of Your Options Trades,1.5,125.0,5050,False,False,4.836281906951478,8.527341522468053
How I Make Consistent Returns Trading Options,3.5,200.0,2310,False,False,5.303304908059076,7.745435610274381
"Forex Strategies: Kelly Criterion, Larry Williams and more!",3.0,185.0,5528,False,False,5.225746673713202,8.617762246337932
"Elite Trend Trader: Learn To Trade Stocks, Options & Forex",5.0,125.0,6451,False,False,4.836281906951478,8.772145439245099
Options Trading Introduction: Day Trade Stock Options,2.5,95.0,12394,False,False,4.564348191467836,9.42504844446929
The Almost Perfect Options Trading Strategy System - Unique,1.0,200.0,1793,False,False,5.303304908059076,7.492203042618741
Forex Trading -  Learn to Trade Forex Like the Banks,1.0,20.0,3223,False,False,3.044522437723423,8.07837810362652
Learn to Trade for Profit:Trading with Japanese Candlesticks,3.0,60.0,16385,False,False,4.110873864173311,9.70418259070176
The Most Powerful Options Spread Trading Front Ratio Spread,2.0,200.0,1487,False,False,5.303304908059076,7.305188215393037
What Finance Job is for You? Explanation of 14 Finance Roles,4.0,200.0,2951,False,False,5.303304908059076,7.990238185720363
The Blueprint for Successful Stock Trading,1.0,120.0,2697,False,False,4.795790545596741,7.900266036767701
Trading for Beginners - Intermediate Level,5.0,150.0,3979,False,False,5.017279836814924,8.289037098278483
Start Trading Stocks Using Technical Analysis!,4.0,25.0,3190,False,False,3.258096538021482,8.068089626278244
Learn How to Set Up an Incubator Hedge Fund - Step-by-Step,1.5,200.0,1406,False,False,5.303304908059076,7.249215057114389
VPS for Forex Trading - Protect Your Forex Robots,2.0,160.0,4252,False,False,5.081404364984463,8.355379895253634
Introduction to Accounting: The Language of Business,11.5,20.0,11958,False,False,3.044522437723423,9.389239411968807
Basic Excel for Basic Bookkeeping and Accounting,1.5,95.0,7743,False,False,4.564348191467836,8.954673628956414
"Using 'The Greeks To Understand Options""",1.0,50.0,2134,False,False,3.9318256327243257,7.666221925662725
Trading Options For Consistent Returns: Calendar Spreads,1.5,200.0,1214,False,False,5.303304908059076,7.102499355774649
How to Create Your Personal Budget,1.0,20.0,3870,False,False,3.044522437723423,8.261268150577648
The Complete Value Investing Course: A Proven Approach,4.5,200.0,2146,False,False,5.303304908059076,7.671826797878781
FOREX Trading with Price Action,1.0,195.0,484,False,False,5.278114659230518,6.184148890937483
Emini ES Futures - Advanced Non Directional Options Trading,1.5,200.0,1057,False,False,5.303304908059076,6.964135612418245
Forex Trading - Advanced Fundamental Analysis,2.5,20.0,1754,False,False,3.044522437723423,7.470224135899966
How To Invest With Tiny Capital In Stocks ?,0.7,20.0,1239,False,False,3.044522437723423,7.122866658599083
Learn How To Successfully Trade Stocks: In 5 Simple Steps,9.5,95.0,2493,False,False,4.564348191467836,7.821643126239982
Forex MetaTrader 4: Master MT4 Like A Pro Forex Trader,5.0,150.0,2602,False,False,5.017279836814924,7.864419904994565
Intermediate Options trading concepts for Stocks and Options,1.0,40.0,2000,False,False,3.713572066704308,7.601402334583733
Options Trading 101: The Basics,0.55,0.0,1514,False,True,0.0,7.323170717943469
Practical Accounts APP Overview,3.0,20.0,1361,False,False,3.044522437723423,7.216709486709457
Bitcoin Profits for Beginners,1.5,100.0,61,False,False,4.61512051684126,4.127134385045092
Trend Traders Club: How To Find And Trade Fast Moving Trends,5.5,75.0,1513,False,False,4.330733340286331,7.322510433997394
Financial Statements Basics,2.0,20.0,1374,False,False,3.044522437723423,7.226209010100671
High performance Stock Trading using key Options techniques,1.5,40.0,2103,False,False,3.713572066704308,7.651595573857601
Introduction to Financial Statement Analysis,1.5,20.0,1480,False,False,3.044522437723423,7.300472814267799
Basics of Economics (College Level),1.5,25.0,2516,False,False,3.258096538021482,7.830822995135316
Stock Market Investing for Beginners,1.5,0.0,50855,False,True,0.0,10.836753388616245
Accounting for Beginners : Learn Basics in under 1 Hour,1.5,50.0,1971,False,False,3.9318256327243257,7.586803535162581
Straddle Options Trading - Profit in Any Market Direction,1.0,200.0,837,False,False,5.303304908059076,6.731018100482083
Fundamentals of Forex Trading,1.0,0.0,17160,False,True,0.0,9.750394646402302
"Binary Options: Trading Strategies, 90% Accuracy and Signals",1.0,195.0,1723,False,False,5.278114659230518,7.452402451223638
Website Investing 101 - Buying & Selling Online Businesses,2.0,0.0,6811,False,True,0.0,8.826441041782578
Practical Accounts & Bookkeeping Automated Overview ,4.5,20.0,2060,False,False,3.044522437723423,7.630946580890459
Live Account - ETF Trading System - Hacking The Stock Market,5.0,150.0,2318,False,False,5.017279836814924,7.7488913372555315
Stock Market Leverage: How to Start Trading Options Wisely,1.5,95.0,2153,False,False,4.564348191467836,7.675081857716334
Stock Market Foundations,2.0,0.0,19339,False,True,0.0,9.869930769007285
Crash Course on Working Capital Management,1.0,20.0,3177,False,False,3.044522437723423,8.064007347096661
Advanced Accounting A Complete Study for CA / CMA / CFA / CS,62.0,150.0,1535,False,False,5.017279836814924,7.336936913707618
61% Profit In 1 Month - Crush Your Forex Trading Paradigm,1.5,20.0,1027,False,False,3.044522437723423,6.93537044601511
How to create a routine Trading,0.1333333333333333,25.0,307,False,False,3.258096538021482,5.730099782973575
"Forex Trading Secrets |MT4 Robot (EA) inside, no coding",0.6833333333333333,150.0,2096,False,False,5.017279836814924,7.64826303090192
Forex SOS Course: Trading Tweaks And Working Forex Strategy,2.5,50.0,1315,False,False,3.9318256327243257,7.182352111885263
Introduction to Financial Modeling,1.5,0.0,29167,False,True,0.0,10.280827496918445
Quantitative Aptitude for Banking & Competitive Examinations,3.0,50.0,1056,False,False,3.9318256327243257,6.963189985870238
Option Spreads and Credit Spreads Bundle,4.5,180.0,2212,False,False,5.198497031265826,7.70210434005105
B Com Accountancy I (Paper ECO 02 IGNOU),31.5,50.0,2946,False,False,3.9318256327243257,7.988542982737695
FOREX TRADING - Learn in a quick + profitable way + support,3.5,100.0,271,False,False,4.61512051684126,5.605802066295998
Auditing Basics (Professional Course Level),2.5,25.0,3771,False,False,3.258096538021482,8.235360643753348
Stock market Investing Encyclopedia: How to invest in stocks,3.0,200.0,3143,False,False,5.303304908059076,8.053251153549096
Learn the basics of preparing accounting statements,0.55,20.0,1951,False,False,3.044522437723423,7.5766097669730375
Elliott Wave -Forex Trading With The Elliott Wave Theory,1.0,90.0,4022,False,False,4.51085950651685,8.299783171949787
Corporate Finance - A Brief Introduction,1.5,0.0,11724,False,True,0.0,9.36947859331448
Excel functions to analyze and visualize data,2.0,20.0,2283,False,False,3.044522437723423,7.7336835707759
Building Financial Statements in Excel,1.0,35.0,1181,False,False,3.58351893845611,7.074963197966044
Transfer Pricing A Complete Analysis,2.5,50.0,1852,False,False,3.9318256327243257,7.52456122628536
